match_id,batting_team,bowling_team,ball,runs,player_dismissed,city,venue
6,Australia,South Africa,11.4,4,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,11.5,2,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,11.6,0,MS Wade,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,11.7,1,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,11.8,1,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,12.1,1,SPD Smith,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,12.2,1,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,12.3,1,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,12.4,0,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,12.5,0,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,12.6,6,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,12.7,0,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,13.1,1,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,13.2,2,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,13.3,0,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,13.4,1,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,13.5,1,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,13.6,1,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,14.1,1,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,14.2,0,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,14.3,4,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,14.4,4,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,14.5,1,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,14.6,1,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,14.7,4,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,14.8,1,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,15.1,1,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,15.2,4,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,15.3,0,0,Johannesburg,The Wanderers Stadium
